Date,origin_true_prices,ensemble_pred_prices
2022-12-09,2389.04,2367.404
2022-12-12,2373.02,2385.939
2022-12-13,2372.4,2375.1785
2022-12-14,2399.25,2369.2068
2022-12-15,2360.97,2397.615
2022-12-16,2360.02,2362.7102
2022-12-19,2352.17,2355.9148
2022-12-20,2333.29,2352.1497
2022-12-21,2328.95,2331.4712
2022-12-22,2356.73,2326.686
2022-12-23,2313.69,2356.7817
2022-12-26,2317.14,2316.243
2022-12-27,2332.79,2315.25
2022-12-28,2280.45,2331.8794
2022-12-29,2236.4,2280.5295
2023-01-02,2225.67,2232.3127
2023-01-03,2218.68,2219.0208
2023-01-04,2255.98,2219.6624
2023-01-05,2264.65,2259.532
2023-01-06,2289.97,2274.1099
2023-01-09,2350.19,2293.7556
2023-01-10,2351.31,2355.6763
2023-01-11,2359.53,2357.1458
2023-01-12,2365.1,2360.9182
2023-01-13,2386.09,2367.0925
2023-01-16,2399.86,2388.3247
2023-01-17,2379.39,2404.8074
2023-01-18,2368.32,2379.2698
2023-01-19,2380.34,2363.9966
2023-01-20,2395.26,2380.4917
